change_id,change_number,title,description,change_type,status,risk_level,computed_risk_score,affected_ci_id,affected_service_id,category,reason,implementation_plan,rollback_plan,test_plan,requested_by,assigned_to,approved_by,implemented_by,scheduled_start,scheduled_end,actual_start,actual_end,created_at,approved_at,closed_at,success,failure_reason,caused_incident
cb242dcd-1df6-4756-b822-3d2116807085,CHG0000011,Rollback: Infrastructure,Rollback for infrastructure. This change involves rollback activities.,standard,in_progress,low,0.1275,,,Rollback,Required rollback to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply rollback
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Michelle Robinson,Emily Davis,John Smith,David Wilson,2025-12-25 07:55:41,2025-12-25 15:55:41,2025-12-25 08:04:41,,2025-12-12 07:55:41,2025-12-13 14:55:41,,,,false
0b82f669-049e-488f-afa8-54565933bf1d,CHG0000012,Software Update: Infrastructure,Software Update for infrastructure. This change involves software update activities.,normal,closed,medium,0.4555,,,Software Update,Required software update to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply software update
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Sarah Johnson,Robert Taylor,Emily Davis,Laura Clark,2026-01-13 18:24:22,2026-01-13 23:24:22,2026-01-13 18:45:22,2026-01-13 23:45:22,2026-01-05 18:24:22,2026-01-07 23:24:22,2026-01-13 23:45:22,true,,false
5dc02f59-c478-4e6d-a173-17a407d379c4,CHG0000013,Configuration Change: web-prod-0170,Configuration Change for web-prod-0170. This change involves configuration change activities.,standard,resolved,medium,0.5914,8acb3662-2d76-44c8-89b0-54404124f32b,eab1fa5b-ffa4-4067-bcce-6ce998814034,Configuration Change,Required configuration change to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply configuration change
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Daniel Harris,Lisa Anderson,Daniel Harris,Sarah Johnson,2026-02-11 17:26:37,2026-02-11 19:26:37,2026-02-11 17:26:37,2026-02-11 21:26:37,2026-01-28 17:26:37,2026-01-29 22:26:37,2026-02-11 21:26:37,true,,false
54279b16-0141-4cfd-99e6-3aa62aa6e374,CHG0000014,Rollback: sqs-prod-0118,Rollback for sqs-prod-0118. This change involves rollback activities.,standard,in_progress,critical,0.8211,2914ee21-f270-4813-a80a-6b81cc596da4,f24639db-705d-4ac1-a0be-3de9c28ea784,Rollback,Required rollback to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply rollback
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",John Smith,Kevin Thompson,Laura Clark,Jessica Garcia,2026-02-01 16:02:04,2026-02-01 19:02:04,2026-02-01 15:40:04,,2026-01-30 16:02:04,2026-01-31 13:02:04,,,,false
5aa83637-714b-472b-a365-9ae42a026546,CHG0000015,New Deployment: memcached-deve-0189,New Deployment for memcached-deve-0189. This change involves new deployment activities.,normal,resolved,high,0.6079,c4babe32-8982-4b1f-914c-f802f712eae9,fa8b3d62-d044-4c49-8ca7-4efaa127c730,New Deployment,Required new deployment to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply new deployment
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Michael Chen,Michael Chen,Michael Chen,Robert Taylor,2025-11-24 03:02:57,2025-11-24 04:02:57,2025-11-24 02:59:57,2025-11-24 07:59:57,2025-11-16 03:02:57,2025-11-17 18:02:57,2025-11-24 07:59:57,true,,false
c125e8f8-5568-4e30-9129-f8ea3e5c1144,CHG0000016,Optimization: elasticsearch-deve-0125,Optimization for elasticsearch-deve-0125. This change involves optimization activities.,emergency,closed,critical,1.0,79af56a6-fbc7-4166-bdee-e0b103f1bd95,5dde88a6-aa1b-4250-9502-369757c5ad99,Optimization,Required optimization to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply optimization
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Kevin Thompson,Jessica Garcia,Robert Taylor,Laura Clark,2025-11-20 16:12:49,2025-11-20 19:12:49,2025-11-20 16:18:49,2025-11-20 18:18:49,2025-11-19 16:12:49,2025-11-20 07:12:49,2025-11-20 18:18:49,true,,false
bc1cd48c-9375-4eeb-af59-aacb313dccef,CHG0000017,Configuration Change: cloudfunction-stag-0060,Configuration Change for cloudfunction-stag-0060. This change involves configuration change activities.,standard,closed,high,0.6977,e24ecfcc-6f9f-490e-9281-595c7952c66a,5dde88a6-aa1b-4250-9502-369757c5ad99,Configuration Change,Required configuration change to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply configuration change
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Jessica Garcia,Sarah Johnson,John Smith,Emily Davis,2025-12-04 19:10:43,2025-12-05 00:10:43,2025-12-04 19:27:43,2025-12-05 01:27:43,2025-12-01 19:10:43,2025-12-02 16:10:43,2025-12-05 01:27:43,true,,false
bca45d55-3fc1-4207-90b7-d1b50317bf32,CHG0000018,New Deployment: worker-stag-0071,New Deployment for worker-stag-0071. This change involves new deployment activities.,normal,in_progress,medium,0.3556,0f3a16ca-0be2-443d-b557-92ac62e59943,,New Deployment,Required new deployment to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply new deployment
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Laura Clark,Laura Clark,Laura Clark,James Brown,2025-12-17 05:17:53,2025-12-17 09:17:53,2025-12-17 05:29:53,,2025-12-04 05:17:53,2025-12-05 09:17:53,,,,false
865ff17a-f987-494f-911e-9fd7a74b9d38,CHG0000019,New Deployment: ceph-prod-0037,New Deployment for ceph-prod-0037. This change involves new deployment activities.,standard,resolved,low,0.2169,cab96c00-b6a3-4909-9176-6d0efba398d0,fa8b3d62-d044-4c49-8ca7-4efaa127c730,New Deployment,Required new deployment to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply new deployment
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Jennifer Martinez,Michelle Robinson,Jessica Garcia,Jennifer Martinez,2025-11-22 06:22:17,2025-11-22 08:22:17,2025-11-22 06:24:17,2025-11-22 07:24:17,2025-11-19 06:22:17,2025-11-21 23:22:17,2025-11-22 07:24:17,true,,false
1deb5b16-f787-4890-8eea-d3ed29fa5a88,CHG0000020,Migration: lambda-prod-0165,Migration for lambda-prod-0165. This change involves migration activities.,normal,resolved,high,0.7245,f18b28fa-242a-4295-83dd-7be8aa7598a1,3630dfb9-c14d-4f28-a4f2-4de2fc2c434a,Migration,Required migration to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply migration
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Jennifer Martinez,David Wilson,Laura Clark,Michelle Robinson,2025-11-16 18:49:13,2025-11-17 00:49:13,2025-11-16 18:47:13,2025-11-16 23:47:13,2025-11-05 18:49:13,2025-11-08 00:49:13,2025-11-16 23:47:13,true,,false
51896741-5a79-47de-a51c-5b5430bad8eb,CHG0000021,Configuration Change: kafka-prod-0267,Configuration Change for kafka-prod-0267. This change involves configuration change activities.,normal,closed,medium,0.4801,4a796ef7-1079-4e16-913b-f2d9863de199,1b317d1b-9bdd-4c2b-bffa-5e53d04b6c26,Configuration Change,Required configuration change to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply configuration change
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",David Wilson,Sarah Johnson,Jessica Garcia,Robert Taylor,2025-11-22 03:33:48,2025-11-22 04:33:48,2025-11-22 03:07:48,2025-11-22 08:07:48,2025-11-12 03:33:48,2025-11-14 12:33:48,2025-11-22 08:07:48,false,Unexpected system behavior during change implementation,false
a3787e27-7117-4349-bc18-401a97dd8af3,CHG0000022,Maintenance Window: ceph-prod-0275,Maintenance Window for ceph-prod-0275. This change involves maintenance window activities.,standard,resolved,medium,0.5842,90c0ec6b-2892-431c-abe5-bd5d8469c67c,eddf2c15-98d6-47b7-8dcc-5836e6fc0014,Maintenance Window,Required maintenance window to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply maintenance window
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",David Wilson,Laura Clark,Christopher Lee,Michael Chen,2025-12-21 04:55:00,2025-12-21 12:55:00,2025-12-21 05:13:00,2025-12-21 11:13:00,2025-12-12 04:55:00,2025-12-14 09:55:00,2025-12-21 11:13:00,true,,false
d08655c5-015e-4330-aec8-cc1ecbb0bcb1,CHG0000023,New Deployment: nginx-test-0033,New Deployment for nginx-test-0033. This change involves new deployment activities.,normal,closed,medium,0.3013,e1f5ae2c-1237-433d-a4b6-f160db078fd9,541cbcda-42b7-490b-83b8-1e60396f364d,New Deployment,Required new deployment to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply new deployment
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Christopher Lee,Jennifer Martinez,James Brown,Jessica Garcia,2025-12-20 21:41:01,2025-12-21 02:41:01,2025-12-20 21:25:01,2025-12-21 00:25:01,2025-12-06 21:41:01,2025-12-09 18:41:01,2025-12-21 00:25:01,true,,false
4477c46f-79a3-4e26-96a1-7dd8dc7d5990,CHG0000024,Maintenance Window: efs-prod-0211,Maintenance Window for efs-prod-0211. This change involves maintenance window activities.,emergency,open,medium,0.5228,c75e94a9-f9d0-4204-a6dc-7224cc52d1a9,eddf2c15-98d6-47b7-8dcc-5836e6fc0014,Maintenance Window,Required maintenance window to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply maintenance window
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",David Wilson,Amanda White,,,2026-01-29 03:14:22,2026-01-29 07:14:22,,,2026-01-18 03:14:22,,,,,false
e64e00e2-5a7d-42da-a775-baffb17e14cf,CHG0000025,New Deployment: lambda-prod-0105,New Deployment for lambda-prod-0105. This change involves new deployment activities.,standard,closed,high,0.7384,a32029af-a989-488c-8538-87cb4c5b3f9d,8187278d-5d57-4ddc-9876-8c1f5b01debf,New Deployment,Required new deployment to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply new deployment
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Christopher Lee,Lisa Anderson,Laura Clark,Jessica Garcia,2026-01-19 06:44:40,2026-01-19 08:44:40,2026-01-19 06:54:40,2026-01-19 08:54:40,2026-01-16 06:44:40,2026-01-17 23:44:40,2026-01-19 08:54:40,true,,false
0796b320-a6e2-4264-af10-8806d48a0777,CHG0000026,Capacity Expansion: Infrastructure,Capacity Expansion for infrastructure. This change involves capacity expansion activities.,standard,resolved,medium,0.4673,,,Capacity Expansion,Required capacity expansion to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply capacity expansion
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Daniel Harris,John Smith,Michael Chen,James Brown,2025-12-20 17:08:09,2025-12-20 19:08:09,2025-12-20 16:45:09,2025-12-20 20:45:09,2025-12-15 17:08:09,2025-12-17 05:08:09,2025-12-20 20:45:09,true,,false
a155876c-0c37-4f7e-b97e-cc6fd8e86e80,CHG0000027,Optimization: varnish-prod-0282,Optimization for varnish-prod-0282. This change involves optimization activities.,normal,in_progress,medium,0.5669,a30c1b34-ca69-4935-a196-ae3b525253b3,fa8b3d62-d044-4c49-8ca7-4efaa127c730,Optimization,Required optimization to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply optimization
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Sarah Johnson,Michelle Robinson,Laura Clark,Emily Davis,2025-12-18 06:25:01,2025-12-18 13:25:01,2025-12-18 06:12:01,,2025-12-08 06:25:01,2025-12-09 11:25:01,,,,false
b23eaff9-1e89-4dd4-b3ce-07d91435e426,CHG0000028,Security Patch: memcached-prod-0063,Security Patch for memcached-prod-0063. This change involves security patch activities.,normal,resolved,medium,0.3891,a1c3ce7f-e492-4001-a1dd-98a51742d908,eddf2c15-98d6-47b7-8dcc-5836e6fc0014,Security Patch,Required security patch to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply security patch
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",David Wilson,Emily Davis,Michelle Robinson,James Brown,2025-11-22 13:18:06,2025-11-22 15:18:06,2025-11-22 12:54:06,2025-11-22 17:54:06,2025-11-08 13:18:06,2025-11-10 04:18:06,2025-11-22 17:54:06,true,,false
87c998ec-3894-43ff-986d-c21ab04da511,CHG0000029,Software Update: lambda-test-0173,Software Update for lambda-test-0173. This change involves software update activities.,standard,closed,critical,1.0,2dc68f81-3734-465e-9874-6d8fae443e1e,0ab6f5c5-ff64-4df7-9fb8-1a2df130551f,Software Update,Required software update to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply software update
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Robert Taylor,Jessica Garcia,Jennifer Martinez,David Wilson,2025-12-14 22:09:17,2025-12-15 02:09:17,2025-12-14 21:53:17,2025-12-15 02:53:17,2025-12-07 22:09:17,2025-12-09 07:09:17,2025-12-15 02:53:17,true,,false
7a022d8f-452b-409c-b4fa-dec89519d8ce,CHG0000030,Hardware Upgrade: nginx-deve-0197,Hardware Upgrade for nginx-deve-0197. This change involves hardware upgrade activities.,standard,resolved,medium,0.4125,e4d0d5e9-0948-400c-b30e-2f7241066ea1,3fa0669e-f615-46f6-a5a6-1bce70f24056,Hardware Upgrade,Required hardware upgrade to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply hardware upgrade
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Jennifer Martinez,Michelle Robinson,Jennifer Martinez,Jennifer Martinez,2026-01-22 12:26:33,2026-01-22 14:26:33,2026-01-22 12:47:33,2026-01-22 16:47:33,2026-01-19 12:26:33,2026-01-21 02:26:33,2026-01-22 16:47:33,true,,false
cc4f1424-b8c6-4c81-97d0-c2c79c274d10,CHG0000031,Configuration Change: Infrastructure,Configuration Change for infrastructure. This change involves configuration change activities.,normal,open,medium,0.3236,,,Configuration Change,Required configuration change to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply configuration change
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Michelle Robinson,Daniel Harris,,,2025-11-13 20:30:04,2025-11-14 01:30:04,,,2025-11-02 20:30:04,,,,,false
f0e0eb87-db6d-4c88-9d8e-a4b674288a1a,CHG0000032,Security Patch: lambda-deve-0228,Security Patch for lambda-deve-0228. This change involves security patch activities.,normal,in_progress,medium,0.454,7eac3986-609b-43df-abd8-1f690b4c58de,,Security Patch,Required security patch to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply security patch
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Robert Taylor,James Brown,Laura Clark,Michelle Robinson,2026-01-04 10:12:04,2026-01-04 17:12:04,2026-01-04 10:16:04,,2025-12-22 10:12:04,2025-12-22 16:12:04,,,,false
269e1b9f-7d54-4287-a623-657c217784dd,CHG0000033,Maintenance Window: lambda-stag-0260,Maintenance Window for lambda-stag-0260. This change involves maintenance window activities.,normal,resolved,high,0.7425,2d71b6f5-a756-42ea-9c11-bb3c054e6903,7f62fecd-2388-45ac-b906-de6be5343086,Maintenance Window,Required maintenance window to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply maintenance window
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Daniel Harris,Lisa Anderson,Daniel Harris,James Brown,2026-01-02 09:53:30,2026-01-02 15:53:30,2026-01-02 10:08:30,2026-01-02 11:08:30,2025-12-29 09:53:30,2025-12-30 07:53:30,2026-01-02 11:08:30,true,,false
9dd13515-2e0b-4438-a91a-d040bf5226c1,CHG0000034,Capacity Expansion: auth-prod-0149,Capacity Expansion for auth-prod-0149. This change involves capacity expansion activities.,standard,resolved,critical,0.9688,4e4a0b9f-3a53-4c2c-823c-d92a1e871904,1b317d1b-9bdd-4c2b-bffa-5e53d04b6c26,Capacity Expansion,Required capacity expansion to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply capacity expansion
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",John Smith,Daniel Harris,Jessica Garcia,Jessica Garcia,2025-12-29 09:40:08,2025-12-29 10:40:08,2025-12-29 09:51:08,2025-12-29 15:51:08,2025-12-21 09:40:08,2025-12-22 20:40:08,2025-12-29 15:51:08,false,Unexpected system behavior during change implementation,false
824bbbae-0f21-4e17-b64d-ccd55d693653,CHG0000035,Optimization: Infrastructure,Optimization for infrastructure. This change involves optimization activities.,standard,resolved,low,0.1716,,,Optimization,Required optimization to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply optimization
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Lisa Anderson,Jennifer Martinez,James Brown,Sarah Johnson,2025-12-09 00:29:11,2025-12-09 05:29:11,2025-12-09 00:57:11,2025-12-09 03:57:11,2025-12-05 00:29:11,2025-12-07 02:29:11,2025-12-09 03:57:11,true,,false
9bcdaec6-db50-45e6-a865-8a4147becb17,CHG0000036,Hardware Upgrade: varnish-prod-0082,Hardware Upgrade for varnish-prod-0082. This change involves hardware upgrade activities.,emergency,resolved,medium,0.3739,341e3d74-6345-4aa2-9ed5-4014c04af43a,,Hardware Upgrade,Required hardware upgrade to improve system stability and performance,"1. Pre-checks
2. Backup current state
3. Apply hardware upgrade
4. Verify
5. Rollback if needed","1. Stop change
2. Restore from backup
3. Verify service restoration
4. Notify stakeholders","1. Functional testing
2. Performance validation
3. Integration check",Amanda White,David Wilson,Michelle Robinson,Robert Taylor,2026-02-01 07:56:07,2026-02-01 12:56:07,2026-02-01 07:59:07,2026-02-01 10:59:07,2026-01-31 07:56:07,2026-01-31 21:56:07,2026-02-01 10:59:07,true,,false
