problem_id,problem_number,title,description,status,priority,root_cause,root_cause_ci_id,known_error,known_error_description,workaround,category,owner,assigned_to,related_incident_count,related_incident_ids,created_at,identified_at,resolved_at,closed_at
9ea417dd-9cd3-4123-92e5-6c4ac29e49d0,PRB0000011,Recurring security issues - Insufficient logging/monitoring,Investigation into recurring security incidents. Multiple incidents reported with similar symptoms pointing to insufficient logging/monitoring.,closed,P2,Insufficient logging/monitoring,fe658f06-e702-42be-99cb-ac6afde76e99,false,,,Security,Christopher Lee,Emily Davis,9,"[""243430a8-852a-4e39-a2a7-13b4437d645b"", ""b8e7e689-7196-4047-868a-7909f99b0e12"", ""2887634e-7741-49aa-9fa7-d9be2016d2cc"", ""02f3602a-5f44-4b6c-ba61-52915a939152"", ""81db53fe-64e6-46fb-a266-e8032ce4d69c"", ""5dfcbe63-f308-47b3-87b8-978cf56d2997"", ""a1662e40-2e21-4d78-a7a4-5deed7cb5eb0"", ""192978a2-4f96-45a9-9265-bb8a65f9be78"", ""28a1cb94-8f05-4aa7-a00d-d0cfd5c53d89""]",2025-06-24 21:31:01,2025-06-26 21:31:01,2025-08-14 21:31:01,2025-08-16 21:31:01
b1aae3ac-1e1a-4a89-a218-5018d78fbd45,PRB0000012,Recurring performance issues - Network misconfiguration,Investigation into recurring performance incidents. Multiple incidents reported with similar symptoms pointing to network misconfiguration.,open,P2,,9afb888c-a5ad-411b-be47-dae081d205ff,true,Known issue: Network misconfiguration,Manual failover to DR site,Performance,Michael Chen,John Smith,3,"[""9ddfc174-41b4-4299-b085-a03a1bfb7370"", ""aae52021-0a7f-448f-9390-8d9cf3d032c0"", ""25e1d673-651f-4872-8c56-f4ab213ade95""]",2025-04-20 08:37:49,2025-05-03 08:37:49,,
5a6eaea4-143b-47b2-84c1-cc9c22bb989f,PRB0000013,Recurring security issues - Improper error handling,Investigation into recurring security incidents. Multiple incidents reported with similar symptoms pointing to improper error handling.,closed,P3,Improper error handling,,false,,,Security,Christopher Lee,Emily Davis,3,"[""243430a8-852a-4e39-a2a7-13b4437d645b"", ""b8e7e689-7196-4047-868a-7909f99b0e12"", ""2887634e-7741-49aa-9fa7-d9be2016d2cc""]",2025-04-21 09:01:30,2025-05-02 09:01:30,2025-06-07 09:01:30,2025-06-18 09:01:30
366cb2ae-b6ce-4a99-9dea-e8f0f8c51b88,PRB0000014,Recurring availability issues - Network misconfiguration,Investigation into recurring availability incidents. Multiple incidents reported with similar symptoms pointing to network misconfiguration.,resolved,P1,Network misconfiguration,,false,,,Availability,Michelle Robinson,Jennifer Martinez,3,"[""ca5a9e63-326e-4c38-b1b1-f0396c4ad317"", ""bef36064-65b0-42cf-a667-7b3e71ad715b"", ""619197fc-3d3b-4bd3-82db-0d6b9488b200""]",2025-05-06 15:08:47,2025-05-18 15:08:47,2025-05-25 15:08:47,
38056352-43ae-422a-a4b9-049b88a06ae8,PRB0000015,Recurring data issues - Race condition in concurrent processing,Investigation into recurring data incidents. Multiple incidents reported with similar symptoms pointing to race condition in concurrent processing.,in_progress,P3,,fe658f06-e702-42be-99cb-ac6afde76e99,false,,,Data,Laura Clark,Amanda White,9,"[""fafdfac8-7473-4831-85f9-22a9c04801f8"", ""c3cbe78b-dac4-49c3-94aa-04facebe9a15"", ""ae3eaf01-23db-4786-9cdd-1b3723d0116a"", ""387ee40b-64b3-47e0-9643-bfb11dd34c55"", ""7bc0ffff-7dd0-4b57-bfb9-f00816ad205b"", ""a602a126-c977-400c-bc51-83ddfc2cbba9"", ""73d73b9e-35e6-432e-bcbc-02b8564479ea"", ""e6ddb94c-1c71-49c4-85ce-6791cfcf072e"", ""ceb2cd7d-602f-4025-b7e8-b2e59d672756""]",2025-05-13 05:50:28,2025-05-23 05:50:28,,
6b6ee41b-2bce-48ce-add3-ce1740eb6828,PRB0000016,Recurring performance issues - Cache invalidation issue,Investigation into recurring performance incidents. Multiple incidents reported with similar symptoms pointing to cache invalidation issue.,closed,P3,Cache invalidation issue,11d1aef4-dca3-48d1-aabc-784012d768bd,true,Known issue: Cache invalidation issue,Read replicas promoted temporarily,Performance,Emily Davis,Michael Chen,3,"[""9ddfc174-41b4-4299-b085-a03a1bfb7370"", ""aae52021-0a7f-448f-9390-8d9cf3d032c0"", ""25e1d673-651f-4872-8c56-f4ab213ade95""]",2025-05-01 19:00:23,2025-05-06 19:00:23,2025-06-18 19:00:23,2025-06-22 19:00:23
fd0da7b9-11fc-4111-9f53-4c96229b043c,PRB0000017,Recurring availability issues - Inadequate resource provisioning,Investigation into recurring availability incidents. Multiple incidents reported with similar symptoms pointing to inadequate resource provisioning.,in_progress,P4,,885fe480-b61e-45e5-a039-d73240d9206a,true,Known issue: Inadequate resource provisioning,Direct database access provided,Availability,Jessica Garcia,Jennifer Martinez,8,"[""ca5a9e63-326e-4c38-b1b1-f0396c4ad317"", ""bef36064-65b0-42cf-a667-7b3e71ad715b"", ""619197fc-3d3b-4bd3-82db-0d6b9488b200"", ""5d929824-fe66-45ab-bd1a-7dac23a3b99c"", ""4464016d-9b28-4f4d-8a5b-a195c4f94551"", ""8663e1bd-6eb3-41dc-925e-1a40d99421e4"", ""16910ef3-f660-4aff-8734-a982f6b9c576"", ""f14e5eb0-5865-42cf-83a4-0f2ea6c27eb3""]",2025-10-18 11:07:52,2025-10-23 11:07:52,,
d36dbf30-75b9-4eb0-a32d-7bcb333f69a9,PRB0000018,Recurring application issues - Certificate expiration oversight,Investigation into recurring application incidents. Multiple incidents reported with similar symptoms pointing to certificate expiration oversight.,resolved,P3,Certificate expiration oversight,36cb5c1b-de9b-4fc1-a97c-180475538a7f,true,Known issue: Certificate expiration oversight,Temporary redirect to backup system,Application,Michelle Robinson,Michael Chen,3,"[""f6e8bc13-243b-4383-b58b-1fb399004655"", ""c3586f0e-05a9-4812-8bd3-42f1c2a3ee5b"", ""fa03a44e-9d2a-4e2a-ad16-5ce3d4bc5753""]",2025-03-03 14:05:37,2025-03-11 14:05:37,2025-04-26 14:05:37,
ee8753d9-b089-4a84-a759-21fd5e7c4a07,PRB0000019,Recurring data issues - Memory leak in application code,Investigation into recurring data incidents. Multiple incidents reported with similar symptoms pointing to memory leak in application code.,resolved,P4,Memory leak in application code,,false,,,Data,Michael Chen,Robert Taylor,3,"[""fafdfac8-7473-4831-85f9-22a9c04801f8"", ""c3cbe78b-dac4-49c3-94aa-04facebe9a15"", ""ae3eaf01-23db-4786-9cdd-1b3723d0116a""]",2025-07-14 09:13:16,2025-07-27 09:13:16,2025-08-26 09:13:16,
0d9493ea-62ef-4aa7-8444-5f0ae0314491,PRB0000020,Recurring security issues - Insufficient logging/monitoring,Investigation into recurring security incidents. Multiple incidents reported with similar symptoms pointing to insufficient logging/monitoring.,closed,P2,Insufficient logging/monitoring,,false,,,Security,James Brown,Jennifer Martinez,7,"[""243430a8-852a-4e39-a2a7-13b4437d645b"", ""b8e7e689-7196-4047-868a-7909f99b0e12"", ""2887634e-7741-49aa-9fa7-d9be2016d2cc"", ""02f3602a-5f44-4b6c-ba61-52915a939152"", ""81db53fe-64e6-46fb-a266-e8032ce4d69c"", ""5dfcbe63-f308-47b3-87b8-978cf56d2997"", ""a1662e40-2e21-4d78-a7a4-5deed7cb5eb0""]",2025-10-13 22:44:21,2025-10-26 22:44:21,2025-12-06 22:44:21,2025-12-18 22:44:21
fcbb005f-478a-46f1-8b95-52feb8255be6,PRB0000021,Recurring security issues - Disk I/O bottleneck,Investigation into recurring security incidents. Multiple incidents reported with similar symptoms pointing to disk i/o bottleneck.,resolved,P1,Disk I/O bottleneck,98dc31e3-b0e8-40c7-b8d3-6c5a36fecd13,false,,,Security,David Wilson,David Wilson,7,"[""243430a8-852a-4e39-a2a7-13b4437d645b"", ""b8e7e689-7196-4047-868a-7909f99b0e12"", ""2887634e-7741-49aa-9fa7-d9be2016d2cc"", ""02f3602a-5f44-4b6c-ba61-52915a939152"", ""81db53fe-64e6-46fb-a266-e8032ce4d69c"", ""5dfcbe63-f308-47b3-87b8-978cf56d2997"", ""a1662e40-2e21-4d78-a7a4-5deed7cb5eb0""]",2025-08-26 04:41:16,2025-09-09 04:41:16,2025-10-14 04:41:16,
281dbc21-619e-42b7-9214-9e63dd3a8881,PRB0000022,Recurring performance issues - Improper error handling,Investigation into recurring performance incidents. Multiple incidents reported with similar symptoms pointing to improper error handling.,closed,P3,Improper error handling,a3c3fbec-1c94-4e37-af94-c35482bf8f21,true,Known issue: Improper error handling,Load balancer health checks adjusted,Performance,Lisa Anderson,David Wilson,8,"[""9ddfc174-41b4-4299-b085-a03a1bfb7370"", ""aae52021-0a7f-448f-9390-8d9cf3d032c0"", ""25e1d673-651f-4872-8c56-f4ab213ade95"", ""10aba55c-ddb7-438f-9daa-16717bf9270a"", ""3f2d2a2a-a3ac-4649-a548-d97ba8613244"", ""0c8dfea1-3712-4268-a713-0200e7d23f09"", ""a4d83a6f-a334-454a-9255-be5d45f0ee62"", ""cd1adb8d-910a-49f1-8bed-6e71b91a2267""]",2025-12-20 17:14:48,2025-12-27 17:14:48,2026-02-22 17:14:48,2026-03-08 17:14:48
124cb944-de6c-437d-abcd-158950a03589,PRB0000023,Recurring performance issues - Memory leak in application code,Investigation into recurring performance incidents. Multiple incidents reported with similar symptoms pointing to memory leak in application code.,resolved,P2,Memory leak in application code,c55f29f5-6dc2-48d6-a219-5729b0cc9217,false,,,Performance,Amanda White,Robert Taylor,6,"[""9ddfc174-41b4-4299-b085-a03a1bfb7370"", ""aae52021-0a7f-448f-9390-8d9cf3d032c0"", ""25e1d673-651f-4872-8c56-f4ab213ade95"", ""10aba55c-ddb7-438f-9daa-16717bf9270a"", ""3f2d2a2a-a3ac-4649-a548-d97ba8613244"", ""0c8dfea1-3712-4268-a713-0200e7d23f09""]",2025-07-22 19:00:28,2025-07-23 19:00:28,2025-08-09 19:00:28,
8d5c5dad-9845-490c-8072-be06a6b4aa81,PRB0000024,Recurring application issues - Cache invalidation issue,Investigation into recurring application incidents. Multiple incidents reported with similar symptoms pointing to cache invalidation issue.,in_progress,P3,,341e3d74-6345-4aa2-9ed5-4014c04af43a,true,Known issue: Cache invalidation issue,VPN tunnel established,Application,Laura Clark,Amanda White,9,"[""f6e8bc13-243b-4383-b58b-1fb399004655"", ""c3586f0e-05a9-4812-8bd3-42f1c2a3ee5b"", ""fa03a44e-9d2a-4e2a-ad16-5ce3d4bc5753"", ""5bb44340-78ff-467a-93df-c70704651895"", ""6d57a107-8a4a-4790-920e-58b8b9abd566"", ""8ba8b8cd-12b0-477e-bc23-26e3604863fb"", ""43b979e5-3f19-453e-ab28-2f7cafa04329"", ""1a88cce5-5c21-4709-aca0-0c0e0ea856d9"", ""bcc4af21-ac18-4a51-aa5c-5c2db938ce92""]",2025-03-03 00:40:24,2025-03-05 00:40:24,,
5aa903f3-a8ea-47e2-ba6d-bb01609609d4,PRB0000025,Recurring data issues - Lack of circuit breaker implementation,Investigation into recurring data incidents. Multiple incidents reported with similar symptoms pointing to lack of circuit breaker implementation.,open,P3,,bf60767a-9e9d-428d-9890-7b7fbaef4e02,true,Known issue: Lack of circuit breaker implementation,Direct database access provided,Data,Michelle Robinson,Emily Davis,2,"[""fafdfac8-7473-4831-85f9-22a9c04801f8"", ""c3cbe78b-dac4-49c3-94aa-04facebe9a15""]",2025-07-08 10:48:01,2025-07-11 10:48:01,,
39b6090c-d877-42c1-b295-160969ee7c39,PRB0000026,Recurring security issues - Insufficient logging/monitoring,Investigation into recurring security incidents. Multiple incidents reported with similar symptoms pointing to insufficient logging/monitoring.,resolved,P3,Insufficient logging/monitoring,954d3478-f911-4375-ab46-1ce16e93db18,true,Known issue: Insufficient logging/monitoring,VPN tunnel established,Security,Jennifer Martinez,James Brown,7,"[""243430a8-852a-4e39-a2a7-13b4437d645b"", ""b8e7e689-7196-4047-868a-7909f99b0e12"", ""2887634e-7741-49aa-9fa7-d9be2016d2cc"", ""02f3602a-5f44-4b6c-ba61-52915a939152"", ""81db53fe-64e6-46fb-a266-e8032ce4d69c"", ""5dfcbe63-f308-47b3-87b8-978cf56d2997"", ""a1662e40-2e21-4d78-a7a4-5deed7cb5eb0""]",2025-11-17 05:02:53,2025-11-19 05:02:53,2025-12-22 05:02:53,
cbbadbd6-23df-486b-a941-a4d255ac6b04,PRB0000027,Recurring security issues - Third-party service degradation,Investigation into recurring security incidents. Multiple incidents reported with similar symptoms pointing to third-party service degradation.,closed,P3,Third-party service degradation,,false,,,Security,James Brown,David Wilson,9,"[""243430a8-852a-4e39-a2a7-13b4437d645b"", ""b8e7e689-7196-4047-868a-7909f99b0e12"", ""2887634e-7741-49aa-9fa7-d9be2016d2cc"", ""02f3602a-5f44-4b6c-ba61-52915a939152"", ""81db53fe-64e6-46fb-a266-e8032ce4d69c"", ""5dfcbe63-f308-47b3-87b8-978cf56d2997"", ""a1662e40-2e21-4d78-a7a4-5deed7cb5eb0"", ""192978a2-4f96-45a9-9265-bb8a65f9be78"", ""28a1cb94-8f05-4aa7-a00d-d0cfd5c53d89""]",2025-06-24 08:00:52,2025-06-30 08:00:52,2025-07-28 08:00:52,2025-08-09 08:00:52
7afbbe23-5b99-48c7-bb80-b412d64de5bf,PRB0000028,Recurring network issues - Database query optimization needed,Investigation into recurring network incidents. Multiple incidents reported with similar symptoms pointing to database query optimization needed.,closed,P4,Database query optimization needed,f543f0e2-366c-4154-b705-073db0aee5db,false,,,Network,Emily Davis,Daniel Harris,5,"[""9880e99a-46f3-436a-9cc5-29cd0febe560"", ""d57cb689-7b0f-479f-b683-097937ec198b"", ""ee930329-91a7-489b-88f1-2526f939b6d4"", ""40b798ff-fd6d-4abd-82cb-d11f5553802b"", ""33e079a8-b505-490c-88f2-56d9286a572e""]",2025-10-09 08:19:00,2025-10-17 08:19:00,2025-11-13 08:19:00,2025-11-22 08:19:00
d75eb0c4-2bc9-47c8-9cdc-21449c3cfe73,PRB0000029,Recurring performance issues - Load balancer misconfiguration,Investigation into recurring performance incidents. Multiple incidents reported with similar symptoms pointing to load balancer misconfiguration.,closed,P3,Load balancer misconfiguration,66705449-ac2f-4277-ba4b-f06cd7a0115f,true,Known issue: Load balancer misconfiguration,Direct database access provided,Performance,Jessica Garcia,Sarah Johnson,3,"[""9ddfc174-41b4-4299-b085-a03a1bfb7370"", ""aae52021-0a7f-448f-9390-8d9cf3d032c0"", ""25e1d673-651f-4872-8c56-f4ab213ade95""]",2025-09-19 01:59:30,2025-10-02 01:59:30,2025-11-23 01:59:30,2025-11-26 01:59:30
49c57905-3f73-4318-87cf-ac9070922062,PRB0000030,Recurring performance issues - Race condition in concurrent processing,Investigation into recurring performance incidents. Multiple incidents reported with similar symptoms pointing to race condition in concurrent processing.,resolved,P2,Race condition in concurrent processing,96a58197-b97d-4547-86cf-14bfbd5c5988,false,,,Performance,James Brown,James Brown,10,"[""9ddfc174-41b4-4299-b085-a03a1bfb7370"", ""aae52021-0a7f-448f-9390-8d9cf3d032c0"", ""25e1d673-651f-4872-8c56-f4ab213ade95"", ""10aba55c-ddb7-438f-9daa-16717bf9270a"", ""3f2d2a2a-a3ac-4649-a548-d97ba8613244"", ""0c8dfea1-3712-4268-a713-0200e7d23f09"", ""a4d83a6f-a334-454a-9255-be5d45f0ee62"", ""cd1adb8d-910a-49f1-8bed-6e71b91a2267"", ""2e6c78f9-df01-484e-a089-656bad9c31f7"", ""453f8785-1e15-4a11-b418-94f7b9eae0ac""]",2025-04-15 21:44:18,2025-04-21 21:44:18,2025-05-18 21:44:18,
82c90467-2532-4280-9765-620e99af07e9,PRB0000031,Recurring performance issues - Certificate expiration oversight,Investigation into recurring performance incidents. Multiple incidents reported with similar symptoms pointing to certificate expiration oversight.,closed,P3,Certificate expiration oversight,9a0c4139-b430-4d25-bc28-f29889ea9666,false,,,Performance,John Smith,Amanda White,10,"[""9ddfc174-41b4-4299-b085-a03a1bfb7370"", ""aae52021-0a7f-448f-9390-8d9cf3d032c0"", ""25e1d673-651f-4872-8c56-f4ab213ade95"", ""10aba55c-ddb7-438f-9daa-16717bf9270a"", ""3f2d2a2a-a3ac-4649-a548-d97ba8613244"", ""0c8dfea1-3712-4268-a713-0200e7d23f09"", ""a4d83a6f-a334-454a-9255-be5d45f0ee62"", ""cd1adb8d-910a-49f1-8bed-6e71b91a2267"", ""2e6c78f9-df01-484e-a089-656bad9c31f7"", ""453f8785-1e15-4a11-b418-94f7b9eae0ac""]",2025-10-16 22:05:30,2025-10-20 22:05:30,2025-11-23 22:05:30,2025-12-05 22:05:30
69333939-ad14-4317-a6d2-15b1379eafa2,PRB0000032,Recurring performance issues - Memory leak in application code,Investigation into recurring performance incidents. Multiple incidents reported with similar symptoms pointing to memory leak in application code.,in_progress,P2,,55d8be61-f771-4a79-b854-61daaf9dc77a,false,,,Performance,David Wilson,Kevin Thompson,3,"[""9ddfc174-41b4-4299-b085-a03a1bfb7370"", ""aae52021-0a7f-448f-9390-8d9cf3d032c0"", ""25e1d673-651f-4872-8c56-f4ab213ade95""]",2025-08-08 04:44:08,2025-08-21 04:44:08,,
38db4e84-0b87-4cde-be9f-d7c37ac8cc3e,PRB0000033,Recurring network issues - Cache invalidation issue,Investigation into recurring network incidents. Multiple incidents reported with similar symptoms pointing to cache invalidation issue.,resolved,P3,Cache invalidation issue,1ffba6a4-7ed2-4be2-821d-3bd36bae0761,false,,,Network,Amanda White,Lisa Anderson,6,"[""9880e99a-46f3-436a-9cc5-29cd0febe560"", ""d57cb689-7b0f-479f-b683-097937ec198b"", ""ee930329-91a7-489b-88f1-2526f939b6d4"", ""40b798ff-fd6d-4abd-82cb-d11f5553802b"", ""33e079a8-b505-490c-88f2-56d9286a572e"", ""2ebef59f-ff33-4a50-9346-f395f1564562""]",2025-09-21 21:51:17,2025-09-25 21:51:17,2025-10-31 21:51:17,
cd5bd93e-f234-4933-abce-4c3910232142,PRB0000034,Recurring performance issues - Database connection pool exhaustion,Investigation into recurring performance incidents. Multiple incidents reported with similar symptoms pointing to database connection pool exhaustion.,resolved,P2,Database connection pool exhaustion,0a81b48a-53dd-4342-a938-6a976e652464,true,Known issue: Database connection pool exhaustion,Load balancer health checks adjusted,Performance,John Smith,Michelle Robinson,10,"[""9ddfc174-41b4-4299-b085-a03a1bfb7370"", ""aae52021-0a7f-448f-9390-8d9cf3d032c0"", ""25e1d673-651f-4872-8c56-f4ab213ade95"", ""10aba55c-ddb7-438f-9daa-16717bf9270a"", ""3f2d2a2a-a3ac-4649-a548-d97ba8613244"", ""0c8dfea1-3712-4268-a713-0200e7d23f09"", ""a4d83a6f-a334-454a-9255-be5d45f0ee62"", ""cd1adb8d-910a-49f1-8bed-6e71b91a2267"", ""2e6c78f9-df01-484e-a089-656bad9c31f7"", ""453f8785-1e15-4a11-b418-94f7b9eae0ac""]",2025-10-03 01:14:10,2025-10-06 01:14:10,2025-11-17 01:14:10,
196a7ed5-f472-4fb9-96e4-e619eb811b2b,PRB0000035,Recurring security issues - DNS propagation delay,Investigation into recurring security incidents. Multiple incidents reported with similar symptoms pointing to dns propagation delay.,resolved,P3,DNS propagation delay,,false,,,Security,Sarah Johnson,Sarah Johnson,2,"[""243430a8-852a-4e39-a2a7-13b4437d645b"", ""b8e7e689-7196-4047-868a-7909f99b0e12""]",2025-12-26 22:06:29,2026-01-01 22:06:29,2026-02-13 22:06:29,
b5b62ff3-5ab4-4a5b-b86e-f4230ca51f52,PRB0000036,Recurring data issues - Database connection pool exhaustion,Investigation into recurring data incidents. Multiple incidents reported with similar symptoms pointing to database connection pool exhaustion.,closed,P3,Database connection pool exhaustion,,true,Known issue: Database connection pool exhaustion,Caching bypass implemented,Data,Jessica Garcia,Jessica Garcia,4,"[""fafdfac8-7473-4831-85f9-22a9c04801f8"", ""c3cbe78b-dac4-49c3-94aa-04facebe9a15"", ""ae3eaf01-23db-4786-9cdd-1b3723d0116a"", ""387ee40b-64b3-47e0-9643-bfb11dd34c55""]",2025-04-18 15:31:50,2025-04-27 15:31:50,2025-05-09 15:31:50,2025-05-22 15:31:50
