ci_id,ci_name,ci_type,service_id,description,environment,status,version,ip_address,hostname,operating_system,cpu_cores,memory_gb,storage_gb,cloud_provider,cloud_region,cost_per_month,health_status,last_health_check,created_at,updated_at
1c04e7eb-f642-447d-af1b-4695f68b5815,rabbitmq-prod-0014,message_queue,,Message Queue for rabbitmq workload,production,open,3.11,10.167.172.195,rabbitmq-prod-0014.internal.example.com,,6,11,366,On-Premise,dc-west,83.02,degraded,2026-01-31 11:30:28,2025-08-13 23:43:34,2025-09-30 23:43:34
d9ae9ac8-6500-4939-bd07-921abefa35f1,sqs-test-0015,message_queue,0ab6f5c5-ff64-4df7-9fb8-1a2df130551f,Message Queue for sqs workload,testing,open,3.11,10.15.126.52,sqs-test-0015.internal.example.com,,9,22,765,On-Premise,dc-east,147.35,healthy,2026-01-31 11:08:28,2025-03-08 11:32:14,2025-03-17 11:32:14
f3adfa08-9aa9-4fa5-956b-f4b0b3246310,router-stag-0016,network,7fa559bc-2833-4dcf-ac5b-1e2401d09160,Network for router workload,staging,closed,1.0,10.58.83.247,router-stag-0016.internal.example.com,,8,15,92,AWS,us-west-2,119.2,healthy,2026-01-31 11:10:28,2025-12-08 09:55:01,2025-12-09 09:55:01
1022262f-4fcc-44fc-a8c8-931bc9933392,f5-deve-0017,load_balancer,,Load Balancer for f5 workload,development,in_progress,1.0,10.61.21.89,f5-deve-0017.internal.example.com,,7,12,112,On-Premise,dc-asia,73.64,healthy,2026-01-31 11:05:28,2025-03-24 22:47:17,2025-04-16 22:47:17
10a9a8fb-ebd3-41b3-a2df-a14fa18ed7d8,elasticsearch-deve-0018,database,,Database for elasticsearch workload,development,open,8.0,10.222.90.188,elasticsearch-deve-0018.internal.example.com,,14,253,6434,AWS,ap-southeast-1,1289.4,healthy,2026-01-31 11:06:28,2025-12-23 04:32:46,2026-01-09 04:32:46
7cb7d7d9-1844-4003-b179-f7da16e1749d,appservice-deve-0019,cloud_service,,Cloud Service for appservice workload,development,in_progress,1.0,10.124.237.146,appservice-deve-0019.internal.example.com,,3,11,41,On-Premise,dc-asia,39.27,healthy,2026-01-31 11:23:28,2025-03-16 21:57:47,2025-04-06 21:57:47
42f1a97a-01e6-47b4-9089-582e3a478b74,worker-test-0020,server,a5f8b430-fb1f-4c8b-b042-5fe74b8fada9,Server for worker workload,testing,open,Amazon Linux 2,10.97.43.62,worker-test-0020.internal.example.com,Windows Server 2022,12,51,672,Azure,southeastasia,274.74,healthy,2026-01-31 10:59:28,2025-11-11 12:10:38,2025-11-26 12:10:38
4f53abea-fb31-4374-8e31-6be8a799ea80,blob-stag-0021,storage,8e1c81ff-9d7e-446d-849f-8ac123da8bef,Storage for blob workload,staging,open,1.0,10.176.217.191,blob-stag-0021.internal.example.com,,7,15,21067,AWS,us-east-1,2206.7,healthy,2026-01-31 11:25:28,2025-11-25 01:14:36,2026-01-08 01:14:36
c345a6a4-7504-45ab-a46f-3495b0dd335a,efs-prod-0022,storage,e62f6318-4753-4bd5-8bd7-54a1f6528b9b,Storage for efs workload,production,open,1.0,10.247.141.186,efs-prod-0022.internal.example.com,,2,31,36118,Azure,eastus,3509.11,healthy,2026-01-31 10:59:28,2025-05-05 18:46:53,2025-06-07 18:46:53
28baef15-150c-430e-82e0-360eb9adc360,cloudfunction-dr-0023,cloud_service,dfee32ff-83a9-4f98-b35e-f6ec754fd1e6,Cloud Service for cloudfunction workload,dr,open,1.0,10.27.149.179,cloudfunction-dr-0023.internal.example.com,,3,1,100,Azure,westeurope,39.9,degraded,2026-01-31 11:07:28,2025-10-31 16:24:59,2025-12-25 16:24:59
532a948e-78e9-4396-b121-35c45f48c2ee,s3-test-0024,storage,e62f6318-4753-4bd5-8bd7-54a1f6528b9b,Storage for s3 workload,testing,open,1.0,10.205.251.19,s3-test-0024.internal.example.com,,3,9,17546,GCP,asia-east1,1622.34,healthy,2026-01-31 11:04:28,2025-10-02 15:57:41,2025-10-05 15:57:41
416bf5d6-d82d-4108-9771-57ea441b2bfc,payment-test-0025,application,,Application for payment workload,testing,open,1.0,10.115.194.116,payment-test-0025.internal.example.com,,3,39,441,GCP,us-central1,136.89,degraded,2026-01-31 11:28:28,2025-09-02 09:52:59,2025-10-27 09:52:59
b2e18600-35d5-49ca-8eb2-767ba328cc5b,cloudfunction-prod-0026,cloud_service,,Cloud Service for cloudfunction workload,production,open,1.0,10.38.80.1,cloudfunction-prod-0026.internal.example.com,,2,7,43,AWS,us-east-1,38.3,healthy,2026-01-31 11:03:28,2025-03-13 17:31:33,2025-04-20 17:31:33
45043937-32b7-4bf3-a7fe-cf6847598801,efs-prod-0027,storage,9ce9f7de-26d1-44ff-a36f-b76bcde19def,Storage for efs workload,production,open,1.0,10.101.217.30,efs-prod-0027.internal.example.com,,2,29,16297,GCP,europe-west1,1536.93,healthy,2026-01-31 11:06:28,2025-06-16 10:33:55,2025-06-25 10:33:55
6661fb75-7dbb-4f47-b01e-c9b7a0eaf174,nlb-prod-0028,load_balancer,f24639db-705d-4ac1-a0be-3de9c28ea784,Load Balancer for nlb workload,production,open,1.0,10.206.139.129,nlb-prod-0028.internal.example.com,,13,26,162,Azure,westeurope,188.29,healthy,2026-01-31 11:19:28,2025-04-05 04:52:21,2025-04-10 04:52:21
51825d70-253f-4836-a05f-b6b7723ca400,lambda-test-0029,cloud_service,5dde88a6-aa1b-4250-9502-369757c5ad99,Cloud Service for lambda workload,testing,open,1.0,10.226.142.47,lambda-test-0029.internal.example.com,,1,9,83,GCP,europe-west1,32.67,unhealthy,2026-01-31 11:20:28,2025-02-20 18:11:10,2025-04-01 18:11:10
7b4c47a9-c63e-4270-8002-cf7911abbd89,s3-stag-0030,storage,ee0ab07b-68f0-4e1e-b88f-9ceeb03e83c7,Storage for s3 workload,staging,open,1.0,10.205.18.117,s3-stag-0030.internal.example.com,,8,13,22614,On-Premise,dc-eu,1657.18,healthy,2026-01-31 11:31:28,2025-08-30 05:50:50,2025-09-19 05:50:50
ee6793ad-1eaf-481c-a0f6-a97eeb85dcba,redis-test-0031,database,6284d7b3-c605-4370-93f9-97ab0da34b42,Database for redis workload,testing,open,8.0,10.104.136.141,redis-test-0031.internal.example.com,,41,217,8667,AWS,ap-southeast-1,1710.7,healthy,2026-01-31 11:29:28,2025-12-18 03:54:07,2026-01-15 03:54:07
f303daa9-7e8b-4613-ba94-4914a48a7d31,s3-prod-0032,storage,f9c1269b-0495-436f-b7f9-ba6e77ec6bda,Storage for s3 workload,production,open,1.0,10.60.78.128,s3-prod-0032.internal.example.com,,6,21,7108,Azure,westus2,772.16,degraded,2026-01-31 11:29:28,2025-05-26 15:56:19,2025-06-27 15:56:19
e1f5ae2c-1237-433d-a4b6-f160db078fd9,nginx-test-0033,load_balancer,541cbcda-42b7-490b-83b8-1e60396f364d,Load Balancer for nginx workload,testing,open,1.0,10.212.174.240,nginx-test-0033.internal.example.com,,10,20,180,On-Premise,dc-west,110.6,healthy,2026-01-31 11:30:28,2025-04-10 14:20:58,2025-06-01 14:20:58
ad1610bb-19b7-41bf-8d7c-4c4246ba5aea,api-deve-0034,server,9c1bf4ca-cf8a-451e-a0a4-3af8f7f10f65,Server for api workload,development,in_progress,Windows Server 2022,10.122.196.60,api-deve-0034.internal.example.com,Windows Server 2022,15,50,1230,On-Premise,dc-west,261.1,healthy,2026-01-31 11:00:28,2025-09-21 23:31:24,2025-10-21 23:31:24
7a9c55f7-fdf9-4f8d-be48-5f1435aa3c4c,activemq-dr-0035,message_queue,,Message Queue for activemq workload,dr,in_progress,3.11,10.225.51.135,activemq-dr-0035.internal.example.com,,6,40,704,Azure,southeastasia,199.88,degraded,2026-01-31 11:47:28,2025-07-19 15:27:42,2025-09-03 15:27:42
f742d55b-b242-49de-b00b-0ae2f8feae58,notification-test-0036,application,7fa559bc-2833-4dcf-ac5b-1e2401d09160,Application for notification workload,testing,open,1.0,10.168.194.245,notification-test-0036.internal.example.com,,7,43,404,Azure,eastus,186.58,healthy,2026-01-31 11:02:28,2025-08-23 11:28:03,2025-10-18 11:28:03
cab96c00-b6a3-4909-9176-6d0efba398d0,ceph-prod-0037,storage,fa8b3d62-d044-4c49-8ca7-4efaa127c730,Storage for ceph workload,production,closed,1.0,10.51.227.43,ceph-prod-0037.internal.example.com,,4,15,49940,AWS,us-west-2,5064.0,healthy,2026-01-31 10:50:28,2025-03-19 03:36:29,2025-03-20 03:36:29
fddc42c8-14d7-43b0-bd54-011f76e1b565,api-deve-0038,server,541cbcda-42b7-490b-83b8-1e60396f364d,Server for api workload,development,open,RHEL 8,10.195.123.128,api-deve-0038.internal.example.com,RHEL 8,11,75,943,GCP,europe-west1,318.87,healthy,2026-01-31 11:07:28,2025-04-28 18:10:54,2025-05-14 18:10:54
820a401b-c0e1-4475-9697-b57732437bb4,efs-deve-0039,storage,dfee32ff-83a9-4f98-b35e-f6ec754fd1e6,Storage for efs workload,development,open,1.0,10.217.128.117,efs-deve-0039.internal.example.com,,2,22,23646,On-Premise,dc-eu,1700.02,healthy,2026-01-31 11:35:28,2025-11-27 22:41:58,2025-12-21 22:41:58
2304ebe0-a9b6-4991-899c-e24fc85814c1,s3-prod-0040,storage,,Storage for s3 workload,production,open,1.0,10.25.254.214,s3-prod-0040.internal.example.com,,4,8,44137,GCP,europe-west1,4022.73,degraded,2026-01-31 11:29:28,2025-08-21 21:48:04,2025-10-09 21:48:04
2ba8a87b-7973-45b2-a13f-47faa763d4ec,dns-test-0041,network,7f62fecd-2388-45ac-b906-de6be5343086,Network for dns workload,testing,in_progress,1.0,10.20.158.202,dns-test-0041.internal.example.com,,8,27,85,Azure,westus2,135.38,healthy,2026-01-31 11:10:28,2025-12-18 15:20:43,2026-01-10 15:20:43
814d8b81-f810-494f-b717-b717956d1126,auth-test-0042,application,541cbcda-42b7-490b-83b8-1e60396f364d,Application for auth workload,testing,open,1.0,10.139.84.66,auth-test-0042.internal.example.com,,14,38,498,GCP,asia-east1,239.22,degraded,2026-01-31 11:17:28,2025-08-07 07:08:07,2025-09-27 07:08:07
6a84a1e9-55b6-4960-a0fc-54e5b1330352,haproxy-test-0043,load_balancer,5dde88a6-aa1b-4250-9502-369757c5ad99,Load Balancer for haproxy workload,testing,open,1.0,10.202.7.68,haproxy-test-0043.internal.example.com,,14,54,151,On-Premise,dc-east,184.17,healthy,2026-01-31 11:18:28,2025-11-13 01:07:30,2025-12-06 01:07:30
5e1f3821-5a10-40ba-9046-b910d843cd5c,f5-prod-0044,load_balancer,9c1bf4ca-cf8a-451e-a0a4-3af8f7f10f65,Load Balancer for f5 workload,production,open,1.0,10.32.237.233,f5-prod-0044.internal.example.com,,4,47,193,GCP,us-central1,137.97,healthy,2026-01-31 11:06:28,2025-07-18 10:01:12,2025-08-13 10:01:12
91d96b61-2aaa-4db9-a0a9-6442be0f71e7,postgres-prod-0045,database,,Database for postgres workload,production,open,8.0,10.189.214.151,postgres-prod-0045.internal.example.com,,15,81,4346,AWS,eu-west-1,746.6,healthy,2026-01-31 11:38:28,2025-11-02 16:44:49,2025-12-28 16:44:49
98fa29c3-028f-4408-ade0-45c7a40dfdad,rabbitmq-test-0046,message_queue,9e0f8d3a-b07a-4be3-8cea-977f89543359,Message Queue for rabbitmq workload,testing,open,3.11,10.188.183.16,rabbitmq-test-0046.internal.example.com,,7,36,555,On-Premise,dc-eu,138.25,healthy,2026-01-31 11:35:28,2025-06-01 01:00:45,2025-06-08 01:00:45
27815f95-2212-47be-a562-0af8ad210f2f,s3-deve-0047,storage,5dde88a6-aa1b-4250-9502-369757c5ad99,Storage for s3 workload,development,open,1.0,10.110.119.85,s3-deve-0047.internal.example.com,,3,26,14448,AWS,us-east-1,1526.8,healthy,2026-01-31 10:57:28,2025-03-08 07:59:09,2025-05-04 07:59:09
0f72061d-a0d6-4e10-ba46-cbaedc365247,lambda-prod-0048,cloud_service,a5f8b430-fb1f-4c8b-b042-5fe74b8fada9,Cloud Service for lambda workload,production,open,1.0,10.121.165.5,lambda-prod-0048.internal.example.com,,2,4,94,Azure,westus2,35.53,healthy,2026-01-31 11:44:28,2025-02-13 16:36:23,2025-02-21 16:36:23
e5f011e9-cd96-429b-bd48-8aef8f4c58ad,rabbitmq-deve-0049,message_queue,ad376f29-742f-47ef-8cc6-6deccdeaa394,Message Queue for rabbitmq workload,development,in_progress,3.11,10.22.154.118,rabbitmq-deve-0049.internal.example.com,,13,14,562,On-Premise,dc-asia,149.94,healthy,2026-01-31 11:46:28,2025-10-15 19:52:26,2025-10-18 19:52:26
6131ab6e-0057-4da2-9f61-8a411e99e18a,blob-stag-0050,storage,9ce9f7de-26d1-44ff-a36f-b76bcde19def,Storage for blob workload,staging,open,1.0,10.140.166.98,blob-stag-0050.internal.example.com,,2,10,22109,AWS,ap-southeast-1,2250.9,unhealthy,2026-01-31 11:14:28,2025-12-08 17:12:30,2025-12-26 17:12:30
5f85e54f-646d-4db7-8410-79858a40a14b,ceph-deve-0051,storage,,Storage for ceph workload,development,open,1.0,10.116.211.87,ceph-deve-0051.internal.example.com,,7,32,37132,AWS,us-east-1,3847.2,healthy,2026-01-31 11:22:28,2025-05-22 03:27:58,2025-06-17 03:27:58
e2d9e46d-b154-4b8e-b9cf-825f10f0496f,mongodb-stag-0052,database,,Database for mongodb workload,staging,open,8.0,10.47.221.25,mongodb-stag-0052.internal.example.com,,51,504,8270,GCP,europe-west1,2110.5,healthy,2026-01-31 11:24:28,2025-03-06 15:07:45,2025-04-26 15:07:45
72000b55-8c89-4ff1-b24d-4f45ba332387,analytics-prod-0053,application,80527c4d-716a-4966-9c08-859ddc506570,Application for analytics workload,production,closed,1.0,10.159.180.27,analytics-prod-0053.internal.example.com,,12,64,434,GCP,us-central1,262.26,healthy,2026-01-31 11:34:28,2025-09-04 13:40:51,2025-09-13 13:40:51
b3736eb9-b219-4e71-85b8-f6a773af7465,nfs-test-0054,storage,7fa559bc-2833-4dcf-ac5b-1e2401d09160,Storage for nfs workload,testing,open,1.0,10.13.136.8,nfs-test-0054.internal.example.com,,6,15,29122,GCP,europe-west1,2701.98,healthy,2026-01-31 11:03:28,2025-11-15 10:26:38,2026-01-02 10:26:38
5856c89b-8778-4534-a29c-7487b60e9fa8,haproxy-prod-0055,load_balancer,8e1c81ff-9d7e-446d-849f-8ac123da8bef,Load Balancer for haproxy workload,production,open,1.0,10.214.232.88,haproxy-prod-0055.internal.example.com,,5,17,57,Azure,westus2,85.22,healthy,2026-01-31 11:28:28,2025-03-19 07:07:19,2025-05-04 07:07:19
1ffba6a4-7ed2-4be2-821d-3bd36bae0761,varnish-stag-0056,cache,669a3c68-8c1e-4132-91d6-035a5d9eccd9,Cache for varnish workload,staging,open,6.0,10.248.226.107,varnish-stag-0056.internal.example.com,,4,102,91,AWS,us-west-2,253.1,healthy,2026-01-31 10:59:28,2025-06-20 03:56:27,2025-07-22 03:56:27
b950ac21-bfc5-475a-a423-8ef1b95e1d70,mongodb-stag-0057,database,3fa0669e-f615-46f6-a5a6-1bce70f24056,Database for mongodb workload,staging,open,8.0,10.154.108.197,mongodb-stag-0057.internal.example.com,,10,144,6975,GCP,asia-east1,976.95,healthy,2026-01-31 11:31:28,2025-12-03 13:48:08,2025-12-21 13:48:08
d24e2454-6eac-4aa7-81a4-506247e0ec20,redis-prod-0058,cache,eddf2c15-98d6-47b7-8dcc-5836e6fc0014,Cache for redis workload,production,open,6.0,10.21.223.5,redis-prod-0058.internal.example.com,,15,45,306,On-Premise,dc-west,189.42,healthy,2026-01-31 11:43:28,2025-11-14 00:42:09,2026-01-08 00:42:09
ce08359f-471d-4a16-b8c2-4108bbf0c2d9,varnish-stag-0059,cache,8e1c81ff-9d7e-446d-849f-8ac123da8bef,Cache for varnish workload,staging,open,6.0,10.185.45.112,varnish-stag-0059.internal.example.com,,4,57,137,On-Premise,dc-asia,117.39,healthy,2026-01-31 11:32:28,2025-12-14 04:33:33,2026-01-10 04:33:33
e24ecfcc-6f9f-490e-9281-595c7952c66a,cloudfunction-stag-0060,cloud_service,5dde88a6-aa1b-4250-9502-369757c5ad99,Cloud Service for cloudfunction workload,staging,open,1.0,10.99.178.90,cloudfunction-stag-0060.internal.example.com,,3,6,19,On-Premise,dc-eu,30.73,healthy,2026-01-31 10:55:28,2025-10-20 10:51:46,2025-11-30 10:51:46
d8f86bc5-085f-411c-81c1-de350666a1cd,payment-prod-0061,application,541cbcda-42b7-490b-83b8-1e60396f364d,Application for payment workload,production,closed,1.0,10.252.237.194,payment-prod-0061.internal.example.com,,14,52,385,GCP,us-east1,254.25,healthy,2026-01-31 11:10:28,2025-03-10 18:15:26,2025-04-07 18:15:26
2083c753-6688-49a4-a069-de836477b668,appservice-deve-0062,cloud_service,1b317d1b-9bdd-4c2b-bffa-5e53d04b6c26,Cloud Service for appservice workload,development,open,1.0,10.180.37.80,appservice-deve-0062.internal.example.com,,4,15,90,GCP,europe-west1,71.1,healthy,2026-01-31 11:45:28,2025-07-05 21:48:30,2025-07-08 21:48:30
a1c3ce7f-e492-4001-a1dd-98a51742d908,memcached-prod-0063,cache,eddf2c15-98d6-47b7-8dcc-5836e6fc0014,Cache for memcached workload,production,open,6.0,10.164.243.129,memcached-prod-0063.internal.example.com,,16,110,71,AWS,ap-southeast-1,387.1,healthy,2026-01-31 11:44:28,2025-09-19 08:37:16,2025-10-17 08:37:16
4af68ae3-dc8d-4c1e-92a6-8e0444f351b0,mongodb-dr-0064,database,0b86f888-18fa-41d7-9f06-8e24157e707a,Database for mongodb workload,dr,open,8.0,10.190.144.100,mongodb-dr-0064.internal.example.com,,36,256,9086,AWS,us-west-2,1780.6,healthy,2026-01-31 11:26:28,2025-10-26 10:00:36,2025-12-08 10:00:36
3511cf54-07cb-43ed-ace8-a27c1b0ae95f,lambda-deve-0065,cloud_service,eddf2c15-98d6-47b7-8dcc-5836e6fc0014,Cloud Service for lambda workload,development,open,1.0,10.72.179.80,lambda-deve-0065.internal.example.com,,4,10,42,GCP,us-central1,57.78,unhealthy,2026-01-31 11:03:28,2025-12-05 17:16:57,2026-01-16 17:16:57
954d3478-f911-4375-ab46-1ce16e93db18,kafka-stag-0066,message_queue,9fee8601-d9ae-4a80-8221-605196634a7b,Message Queue for kafka workload,staging,open,3.11,10.216.185.5,kafka-stag-0066.internal.example.com,,16,29,932,AWS,eu-west-1,311.2,healthy,2026-01-31 11:36:28,2025-04-07 06:58:23,2025-06-06 06:58:23
d1b819ce-2ce8-4ee8-a83b-dd382e6a6ee9,switch-test-0067,network,541cbcda-42b7-490b-83b8-1e60396f364d,Network for switch workload,testing,open,1.0,10.19.172.225,switch-test-0067.internal.example.com,,3,6,125,On-Premise,dc-west,38.15,healthy,2026-01-31 11:39:28,2025-03-24 06:17:31,2025-05-01 06:17:31
84de2734-7345-47b4-bf3a-48f973b7af21,kafka-prod-0068,message_queue,9e0f8d3a-b07a-4be3-8cea-977f89543359,Message Queue for kafka workload,production,open,3.11,10.229.119.137,kafka-prod-0068.internal.example.com,,14,54,343,Azure,southeastasia,268.19,healthy,2026-01-31 10:56:28,2025-09-16 10:02:19,2025-11-05 10:02:19
98d5cdef-7f77-4c57-aeeb-5abcc57e3a54,nfs-prod-0069,storage,c5bcb10b-185b-4c44-a597-6ced6cba68fe,Storage for nfs workload,production,open,1.0,10.70.128.14,nfs-prod-0069.internal.example.com,,5,24,35567,On-Premise,dc-asia,2558.29,healthy,2026-01-31 10:52:28,2025-09-02 17:42:29,2025-09-25 17:42:29
f4416966-308d-44fd-92bf-a9c4e938b7c5,k8s-node-deve-0070,container,dfee32ff-83a9-4f98-b35e-f6ec754fd1e6,Container for k8s-node workload,development,open,1.28,10.113.230.227,k8s-node-deve-0070.internal.example.com,,25,147,1251,AWS,eu-west-1,669.1,healthy,2026-01-31 11:46:28,2025-04-17 03:44:08,2025-05-13 03:44:08
0f3a16ca-0be2-443d-b557-92ac62e59943,worker-stag-0071,server,,Server for worker workload,staging,open,Amazon Linux 2,10.74.70.10,worker-stag-0071.internal.example.com,Amazon Linux 2,15,36,157,Azure,southeastasia,225.81,degraded,2026-01-31 11:17:28,2025-03-23 11:28:19,2025-05-06 11:28:19
435d2b5f-571b-4398-b9e9-1ffa9c5f98e2,reporting-stag-0072,application,6284d7b3-c605-4370-93f9-97ab0da34b42,Application for reporting workload,staging,open,1.0,10.147.121.78,reporting-stag-0072.internal.example.com,,15,13,330,AWS,us-east-1,209.0,healthy,2026-01-31 11:32:28,2025-12-09 07:01:24,2026-01-04 07:01:24
e29547be-9452-480b-a757-30f4840a6bef,cloudfunction-prod-0073,cloud_service,b9fe9953-0346-455c-94a1-c5a172a6e7b4,Cloud Service for cloudfunction workload,production,open,1.0,10.123.213.48,cloudfunction-prod-0073.internal.example.com,,2,5,47,On-Premise,dc-east,24.29,healthy,2026-01-31 11:42:28,2025-09-07 11:51:53,2025-10-10 11:51:53
b6b297d7-adcd-444b-8d81-896d716589dd,redis-dr-0074,cache,,Cache for redis workload,dr,open,6.0,10.182.34.89,redis-dr-0074.internal.example.com,,4,97,248,AWS,ap-southeast-1,258.8,healthy,2026-01-31 11:05:28,2025-08-10 21:02:34,2025-09-19 21:02:34
fb8f7a9d-4477-414d-8757-8785cc388e5d,elasticsearch-deve-0075,database,eddf2c15-98d6-47b7-8dcc-5836e6fc0014,Database for elasticsearch workload,development,open,8.0,10.69.32.184,elasticsearch-deve-0075.internal.example.com,,29,448,3368,GCP,us-east1,1370.52,healthy,2026-01-31 11:18:28,2025-09-26 05:13:50,2025-09-28 05:13:50
dba368ad-3cc8-4caf-96bf-0ab25c3c5aaa,nlb-prod-0076,load_balancer,3fa0669e-f615-46f6-a5a6-1bce70f24056,Load Balancer for nlb workload,production,open,1.0,10.97.146.92,nlb-prod-0076.internal.example.com,,12,33,189,Azure,eastus,194.66,degraded,2026-01-31 11:44:28,2025-09-30 21:01:50,2025-11-24 21:01:50
c55f29f5-6dc2-48d6-a219-5729b0cc9217,memcached-prod-0077,cache,,Cache for memcached workload,production,open,6.0,10.254.188.237,memcached-prod-0077.internal.example.com,,15,72,247,GCP,asia-east1,286.83,healthy,2026-01-31 11:30:28,2025-07-23 18:36:34,2025-09-12 18:36:34
49f00ff8-348d-4e43-93ea-b87723fb65f4,redis-prod-0078,database,1b317d1b-9bdd-4c2b-bffa-5e53d04b6c26,Database for redis workload,production,open,8.0,10.218.85.177,redis-prod-0078.internal.example.com,,28,370,5343,Azure,westeurope,1476.59,healthy,2026-01-31 11:19:28,2025-07-07 04:02:35,2025-07-09 04:02:35
79e8a3e6-f463-449c-9464-6f24165d3163,varnish-dr-0079,cache,9fee8601-d9ae-4a80-8221-605196634a7b,Cache for varnish workload,dr,open,6.0,10.224.17.33,varnish-dr-0079.internal.example.com,,10,62,312,GCP,us-central1,229.68,healthy,2026-01-31 10:58:28,2025-04-22 12:56:29,2025-06-02 12:56:29
